epoch,train_loss,train_acc,train_precision_pos,train_precision_neg,train_recall_pos,train_recall_neg,train_F1_pos,train_F1_neg,train_AUC,val_loss,val_acc,val_precision_pos,val_precision_neg,val_recall_pos,val_recall_neg,val_F1_pos,val_F1_neg,val_AUC,test_loss,test_acc,test_precision_pos,test_precision_neg,test_recall_pos,test_recall_neg,test_F1_pos,test_F1_neg,test_AUC
1,0.396599322253344,85.70648193359375,0.08713410794734955,0.8929818868637085,0.03659233823418617,0.9544821977615356,0.05154016613960266,0.9227083921432495,0.579808269167819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.323250982986421,88.50389862060547,0.3282172381877899,0.8997259736061096,0.07947398722171783,0.9806863069534302,0.12796317040920258,0.9384632706642151,0.7473198764639064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.29356100410223007,88.80730438232422,0.3721552789211273,0.9000372290611267,0.07947398722171783,0.9840806722640991,0.13097761571407318,0.9401845335960388,0.804042708321022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.2648605462543818,89.01665496826172,0.39590445160865784,0.8991134762763977,0.06632361561059952,0.9879841208457947,0.11361411213874817,0.941456139087677,0.8438848345000258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.2454178270940878,89.15319061279297,0.4507042169570923,0.9022313356399536,0.10062892735004425,0.985438346862793,0.16452442109584808,0.9420009851455688,0.8700080698986512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2278121776726781,89.40198516845703,0.5026795268058777,0.9054206013679504,0.13407661020755768,0.9842503666877747,0.21169035136699677,0.9431912302970886,0.8903996870473819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.22004555150562402,89.84799194335938,0.5555555820465088,0.9133297204971313,0.2172670066356659,0.9793625473976135,0.31237155199050903,0.9451942443847656,0.8979187610665876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.20792776026896068,91.01307678222656,0.6422505378723145,0.926371693611145,0.3459119498729706,0.9771223068237305,0.4496469795703888,0.9510704278945923,0.911362093977038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2031684637982018,91.3134536743164,0.6356257796287537,0.9343523383140564,0.4253859221935272,0.9710464477539062,0.5096762776374817,0.9523460268974304,0.9141815999673493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.19615550567300952,92.14175415039062,0.6810207366943359,0.9412170648574829,0.4882790148258209,0.9728454351425171,0.5687646269798279,0.9567699432373047,0.9191894269849904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
