epoch,train_loss,train_acc,train_precision_pos,train_precision_neg,train_recall_pos,train_recall_neg,train_F1_pos,train_F1_neg,train_AUC,val_loss,val_acc,val_precision_pos,val_precision_neg,val_recall_pos,val_recall_neg,val_F1_pos,val_F1_neg,val_AUC,test_loss,test_acc,test_precision_pos,test_precision_neg,test_recall_pos,test_recall_neg,test_F1_pos,test_F1_neg,test_AUC
1,0.4857554679014245,81.57289123535156,0.03140096738934517,0.8309707045555115,0.003597122384235263,0.9778501987457275,0.0064548165537416935,0.8984469771385193,0.45927352410875266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4221861967626883,83.35942840576172,,0.8335942625999451,0.0,1.0,,0.9092461466789246,0.5266663024996571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4235329989876066,83.3502197265625,0.0,0.8335789442062378,0.0,0.9998895525932312,,0.909191370010376,0.5138304165125019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4206635653972626,83.35482025146484,0.0,0.833586573600769,0.0,0.9999447464942932,,0.9092186689376831,0.5162751779608978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4146153114888133,83.3502197265625,0.0,0.8335789442062378,0.0,0.9998895525932312,,0.909191370010376,0.5532595627159171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.40891329700849494,83.3502197265625,0.0,0.8335789442062378,0.0,0.9998895525932312,,0.909191370010376,0.5483383178565411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.40873649655556193,83.3502197265625,0.0,0.8335789442062378,0.0,0.9998895525932312,,0.909191370010376,0.5538420592598969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.404887459411913,83.35942840576172,,0.8335942625999451,0.0,1.0,,0.9092461466789246,0.5769853592634917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.4071092033872799,83.3502197265625,0.0,0.8335789442062378,0.0,0.9998895525932312,,0.909191370010376,0.5680662912139441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4053927824205282,83.36402893066406,0.6000000238418579,0.8336941003799438,0.0008301051566377282,0.9998895525932312,0.0016579164657741785,0.9092599153518677,0.5684256947071596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.41013938188552856,83.3824462890625,1.0,0.8337861895561218,0.0013835085555911064,1.0,0.0027631940320134163,0.9093602895736694,0.5514598934741191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.40830234088459794,83.38705444335938,0.800000011920929,0.8338861465454102,0.0022136138286441565,0.9998895525932312,0.004415011499077082,0.9093740582466125,0.5620888066391783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.40206693052029124,83.36863708496094,0.75,0.8337017297744751,0.0008301051566377282,0.9999447464942932,0.001658374909311533,0.9092872142791748,0.5758972753134384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.4021234357235383,83.39165496826172,0.8181818127632141,0.8339245319366455,0.002490315353497863,0.9998895525932312,0.004965517204254866,0.9093968868255615,0.5865383163403673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.4053265063130126,83.42388916015625,0.71875,0.8344092965126038,0.006364139262586832,0.9995028972625732,0.012616565451025963,0.9095250368118286,0.5648910228695252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.4040463016349442,83.46533203125,0.8965517282485962,0.8345705270767212,0.007194244768470526,0.9998342990875244,0.014273950830101967,0.9097580313682556,0.5728313793439908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.4026685195917986,83.47454071044922,0.931034505367279,0.8346166014671326,0.007470946293324232,0.9998895525932312,0.014822947792708874,0.9098082184791565,0.5793158039597079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.40272571176898725,83.50676727294922,0.8478260636329651,0.8350406289100647,0.010791366919875145,0.999613344669342,0.021311474964022636,0.9099457263946533,0.5865297649368183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.40238498090481273,83.53900146484375,0.8196721076965332,0.8354342579841614,0.013835085555911064,0.9993923902511597,0.027210883796215057,0.9100877642631531,0.5749263738674243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.39809378555842806,83.67713165283203,0.8415841460227966,0.8367488384246826,0.023519646376371384,0.9991162419319153,0.04576043412089348,0.910752534866333,0.5846394156641783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.4067514514436527,83.5666275024414,0.7528089880943298,0.8360072374343872,0.01853901520371437,0.9987847805023193,0.03618687763810158,0.9101753830909729,0.5828576287139838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.3987941419591709,83.59425354003906,0.7684210538864136,0.836239218711853,0.02019922435283661,0.9987847805023193,0.03936370834708214,0.9103128910064697,0.596173203352407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.4000339030611272,83.63569641113281,0.7830188870429993,0.8366185426712036,0.02296624146401882,0.9987295866012573,0.04462365433573723,0.9105146527290344,0.5841665513233385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.3953768317492641,83.69094848632812,0.78125,0.8372394442558289,0.02767017111182213,0.9984533786773682,0.05344735458493233,0.9107673168182373,0.604045484846699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.39654489500182016,83.80606079101562,0.8169934749603271,0.8382100462913513,0.034587714821100235,0.9984533786773682,0.0663658082485199,0.9113413095474243,0.593998793113441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.3953291500101284,83.8567123413086,0.78125,0.8390783071517944,0.04150525853037834,0.9976800680160522,0.07882291823625565,0.9115316271781921,0.5966049995585978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.3932880181439069,83.77843475341797,0.7040358781814575,0.8391718864440918,0.043442171066999435,0.9963544011116028,0.08183477073907852,0.9110331535339355,0.6158564709808005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.398904845422628,83.81986999511719,0.7427184581756592,0.8391130566596985,0.04233536124229431,0.9970724582672119,0.08010470122098923,0.9112985134124756,0.593494168599992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.3965583498380622,83.7139663696289,0.7103825211524963,0.8382168412208557,0.035971224308013916,0.9970724582672119,0.06847511231899261,0.9107697010040283,0.6035842822054264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.39688481877044757,83.8428955078125,0.7272727489471436,0.8396239876747131,0.046485889703035355,0.9965201020240784,0.08738622069358826,0.911368727684021,0.595496580233349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.3972591183015278,83.76461791992188,0.7444444298744202,0.8384250998497009,0.03707803040742874,0.9974591135978699,0.07063785195350647,0.9110539555549622,0.5967858323219394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.392580229408887,83.92577362060547,0.8153846263885498,0.8394740223884583,0.04399557411670685,0.9980114698410034,0.08348648995161057,0.911903440952301,0.6207300832232681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.39727223649316906,83.87512969970703,0.7616822719573975,0.8395182490348816,0.045102380216121674,0.9971829652786255,0.0851619690656662,0.9115836024284363,0.5917204898170589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.39842470628874643,83.727783203125,0.698019802570343,0.8385852575302124,0.039014942944049835,0.9966305494308472,0.07389937341213226,0.9108026623725891,0.5873617194486703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.3931732278089134,83.96721649169922,0.800000011920929,0.8400781750679016,0.048699501901865005,0.9975696206092834,0.09181012213230133,0.9120751619338989,0.6040477850901915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.3970164684008579,83.9119644165039,0.7654867172241211,0.8398939371109009,0.04786939546465874,0.9970724582672119,0.09010416269302368,0.9117587804794312,0.5962634707149811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
