ML,test_acc,test_precision_pos,test_recall_pos,test_F1_pos,test_AUC
LR,0.9617153245642177,0.8296892980437284,0.7744360902255639,0.8011111111111111,0.8784294465379602
DT,0.9778633301251203,0.8900862068965517,0.8872180451127819,0.8886498117267349,0.9375520154305002
SVM,0.9701636188642926,0.9004914004914005,0.7873254564983888,0.8401146131805157,0.8888527520021636
